cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,chbal,chcic,chitem,chcoin,chus,chusfbk,chnus,chnusfbk,chfrb,chbalni
"23257","0","987231","1207860","Community State Bank","Galva","IL","61434","12/31/2014","2/18/2015","NM","625 S.E. 2nd Street","GALVA INVESTMENT, INC.","4","0","0","2","1","Henry","19340","Davenport-Moline-Rock Island, IA-IL","11/24/1980","11/24/1980","10/23/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","http://www.commstatebank.com","4010","","","","","","","","","3900"
"10114","10822","772240","1203778","Community State Bank","Tipton","IA","52772","12/31/2014","2/18/2015","NM","509 Lynn St","FIDELITY COMPANY","4","0","0","2","0","Cedar","","","1/1/1894","1/1/1934","5/3/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","http://www.cstbank.com","10329","","","","","","","","","5534"
"1839","0","987848","1210347","Community State Bank","Royal Center","IN","46978","12/31/2014","2/18/2015","NM","101 N Chicago St","COMMUNITY BANCORP","3","0","0","2","0","Cass","","","5/22/1930","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.csbnetbank.com","2692","","","","","","","","","2546"
"15868","0","626941","1426876","Community State Bank","Saint Charles","MI","48655","12/31/2014","2/18/2015","NM","207 South Saginaw Street","COMMUNITY BANCORP, INC.","8","0","0","7","0","Saginaw","40980","Saginaw, MI","12/15/1941","12/15/1941","10/30/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","http://www.gotocsb.com","9643","","","","","","","","","6306"
"22567","14736","367150","2516961","Community State Bank","Shelbina","MO","63468","12/31/2014","2/18/2015","NM","208 North Center Street","COMMUNITY STATE BANCSHARES, INC","2","0","0","8","0","Shelby","","","11/28/1977","11/28/1977","10/7/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","http://www.commbankonline.com","10646","","","","","","","","","1943"
"230","16077","849348","1131424","Community State Bank","Spencer","IA","51301","12/31/2014","2/18/2015","NM","1812 Highway Boulevard","COMMUNITY STATE BANCORPORATION","4","0","0","2","1","Clay","","","1/1/1914","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","www.ecommunitybank.org","3263","","","","","","","","","2287"
"17734","0","853934","1134199","Community State Bank","Starke","FL","32091","12/31/2014","2/18/2015","NM","811 South Walnut Street","COMMUNITY STATE BANK CORPORATION","2","0","0","5","1","Bradford","","","3/19/1957","3/19/1957","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","www.communitystatebank-fl.com","8704","","","","","","","","","1751"
"26416","0","147651","1137293","Community State Bank of Canton","Canton","OK","73724","12/31/2014","2/18/2015","NM","101 W Main St","CANTON BANCSHARES, INC.","2","0","0","2","0","Blaine","","","10/10/1985","10/10/1985","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.csbcanton.com","2794","","","","","","","","","2794"
"1936","11336","825548","0","Community State Bank of Missouri","Bowling Green","MO","63334","12/31/2014","2/18/2015","NM","117 West Church Street","","2","0","0","2","1","Pike","","","1/26/1887","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","WWW.C-S-B.COM","26466","","","","","","","","","9105"
"16976","14414","121914","1248854","Community State Bank of Orbisonia","Orbisonia","PA","17243","12/31/2014","2/18/2015","NM","761 Elliott St","ORBISONIA COMMUNITY BANCORP, INC.","7","0","0","5","0","Huntingdon","","","1/11/1951","1/11/1951","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","www.csborbisonia.com","10021","3313","3","3310","6708","0","0","0","0","9329"
"21988","13054","875048","1427659","Community State Bank of Rock Falls","Rock Falls","IL","61071","12/31/2014","2/18/2015","NM","1801 First Avenue","COMMUNITY ILLINOIS CORPORATION","5","0","0","2","0","Whiteside","","","4/24/1975","4/24/1975","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","www.commstbk.com","23938","","","","","","","","","7361"
"8058","13861","198046","1134153","Community State Bank of Southwestern Indiana","Poseyville","IN","47633","12/31/2014","2/18/2015","NM","220 South Lockwood Street","CYNTHIANA BANCORPORATION","5","0","0","4","1","Posey","21780","Evansville, IN-KY","7/15/1925","1/1/1934","7/20/2012","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","www.csbswin.com","9293","","","","","","","","","1740"
"35138","0","2820604","0","Community Trust & Banking Company","Ooltewah","TN","37363","12/31/2014","2/18/2015","NM","9125 Lee Highway","","4","0","0","4","1","Hamilton","16860","Chattanooga, TN-GA","6/21/1999","6/21/1999","8/8/2013","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","http://www.commtrustbank.com","21972","","","","","","","","","614"
"13380","11988","484141","2251806","Community Trust Bank","Irvington","IL","62848","12/31/2014","2/18/2015","NM","107 S 2nd St","COMMUNITY BANCSHARES, INC.","3","0","0","2","0","Washington","","","1/1/1934","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","https://www.communitytrustbk.com","8566","","","","","","","","","7495"
"12614","12804","667757","1885307","Community Trust Bank","Choudrant","LA","71227","12/31/2014","2/18/2015","SM","3921 Elm Street","COMMUNITY TRUST FINANCIAL CORPORATION","39","0","1","4","0","Lincoln","","","11/23/1912","1/1/1934","12/19/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","http://www.ctbonline.com","139370","51844","30631","21213","67815","0","0","0","19711","57431"
"2720","9685","509811","1070644","Community Trust Bank, Inc.","Pikeville","KY","41501","12/31/2014","2/18/2015","SM","346 North Mayo Trail","COMMUNITY TRUST BANCORP, INC.","81","0","1","4","0","Pike","","","11/17/1903","1/1/1934","1/22/2011","Stock","0","1","FED","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","www.ctbi.com","106293","38346","3599","34747","30585","0","0","0","37362","59856"
