cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,intinc,ilndom,ilnfor,ils,ichbal,isc,itrade,ifrepo,IOTHII
"11895","10439","3565265","1123193","Meridian Bank Texas","Fort Worth","TX","76102","12/31/2014","2/18/2015","NM","100 Lexington St, Suite 100","MARQUETTE FINANCIAL COMPANIES","5","0","0","4","1","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","4/9/1907","1/1/1934","6/6/2014","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Dallas","Dallas","Southern","West","www.meridianbanktexas.com","15767","14502","","0","50","1212","0","0","3"
"22644","0","978369","1123193","Meridian Bank, National Association","Phoenix","AZ","85016","12/31/2014","2/18/2015","N","2198 East Camelback Road","MARQUETTE FINANCIAL COMPANIES","16","0","0","4","1","Maricopa","38060","Phoenix-Mesa-Scottsdale, AZ","5/1/1978","5/1/1978","11/14/2011","Stock","0","0","OCC","DIF","San Francisco","KANSAS CITY","Phoenix","San Francisco","Western","Western","www.meridianbank.com","46704","43220","","0","73","2955","0","4","452"
"4675","0","667850","3488289","Merit Bank","Overland Park","KS","66210","12/31/2014","2/18/2015","NM","10000 College Boulevard","COMMUNITY BANCSHARES OF KANSAS, INC.","3","0","0","4","0","Johnson","28140","Kansas City, MO-KS","9/21/1904","1/1/1934","8/18/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","www.meritbanks.com","4235","4116","","0","5","98","0","4","12"
"34519","0","2615190","0","Merrick Bank","South Jordan","UT","84095","12/31/2014","2/18/2015","NM","10705 S Jordan Gateway, # 20","","1","0","0","3","0","Salt Lake","41620","Salt Lake City, UT","9/22/1997","9/22/1997","12/15/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","http://www.merrickbank.com","457535","456416","","0","375","690","0","54","0"
"30120","4783","929174","0","Merrill Federal Savings and Loan Association","Merrill","WI","54452","12/31/2014","2/18/2015","SA","907 East Main St","","1","0","0","4","0","Lincoln","","","1/1/1924","2/10/1941","7/7/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","www.merrillfederal.com","1912","1905","","0","5","0","0","1","1"
"90240","0","875909","0","Merrimac Savings Bank","Merrimac","MA","1860","12/31/2014","2/18/2015","SB","1 West Main Street","","2","0","1","5","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","4/19/1871","11/19/1985","10/23/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","","2411","1815","","0","6","586","0","0","4"
"17960","13444","74403","4436559","Merrimack County Savings Bank","Concord","NH","3301","12/31/2014","2/18/2015","SB","89 North Main Street","NEW HAMPSHIRE MUTUAL BANCORP","7","0","0","4","0","Merrimack","","","1/1/1867","1/22/1959","5/3/2012","Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","http://www.mcsbnh.com","24039","22365","","0","38","1573","0","0","63"
"30776","5902","435077","0","MetaBank","Storm Lake","IA","50588","12/31/2014","2/18/2015","SA","121 East Fifth St","","11","0","1","9","0","Buena Vista","","","1/1/1954","9/6/1955","7/21/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","http://www.metabank.com","51729","21597","","0","492","29640","0","0","0"
"16539","0","55336","2699583","Metairie Bank & Trust Company","Metairie","LA","70004","12/31/2014","2/18/2015","NM","3344 Metairie Road","ALBERT J. ORTTE FAMILY LIMITED PARTNERSHIP","7","0","0","4","0","Jefferson","35380","New Orleans-Metairie, LA","2/15/1947","2/15/1947","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","http://www.METAIRIEBANK.COM","11195","9902","","0","69","1221","0","3","0"
"26512","0","157379","0","Methuen Co-operative Bank","Methuen","MA","1844","12/31/2014","2/18/2015","SB","243 Broadway","","1","0","0","5","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1923","1/23/1986","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","WWW.METHUENCOOP.COM","2622","2287","","0","84","246","0","3","2"
"27510","0","1394621","0","Metro Bank","Pell City","AL","35128","12/31/2014","2/18/2015","NM","800 Martin Street South","","9","0","0","4","0","Saint Clair","13820","Birmingham-Hoover, AL","5/30/1989","5/30/1989","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","http://www.metrobankpc.com","30899","25872","","0","192","4812","0","12","11"
"34308","0","2496081","2496063","Metro Bank","Louisville","KY","40211","12/31/2014","2/18/2015","NM","2901 West Broadway","LOUISVILLE DEVELOPMENT BANCORP, INC.","1","0","0","4","0","Jefferson","31140","Louisville-Jefferson County, KY-IN","1/6/1997","1/6/1997","2/9/2011","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","www.metrobankky.com","914","781","","0","81","45","0","1","6"
"58653","0","3650273","3650255","Metro Bank","Douglasville","GA","30135","12/31/2014","2/18/2015","NM","9340 The Landing Drive","METRO BANCSHARES, INC.","3","0","0","4","0","Douglas","12060","Atlanta-Sandy Springs-Roswell, GA","1/28/2008","1/28/2008","1/30/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","www.metrobankga.com","9202","8475","","0","61","650","0","2","14"
