cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s
"5636","0","400945","3143953","Bank of Gravett","Gravette","AR","72736","12/31/2014","2/18/2015","NM","211 Main St Se","GRAVETT BANCSHARES, INC.","4","0","0","2","1","Benton","22220","Fayetteville-Springdale-Rogers, AR-MO","3/1/1898","1/1/1934","3/14/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.bankofgravett.net","23891","3404","9048","7921","3518"
"17995","0","857259","1472006","Bank of Greeley","Greeley","KS","66033","12/31/2014","2/18/2015","NM","118 W Brown St","GREELEY BANCSHARES, INC.","1","0","0","2","1","Anderson","","","1/1/1888","5/4/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","","11402","2370","5410","3620","2"
"15113","13511","465524","1250679","Bank of Greeleyville","Greeleyville","SC","29056","12/31/2014","2/18/2015","NM","73 Main Street","SOUTHEASTERN BANCORP, INC.","2","0","0","4","1","Williamsburg","","","4/25/1935","4/25/1935","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","http://www.bog1.com","14575","3033","6635","3625","1282"
"57915","17987","3286999","4446521","Bank of Grove","Grove","OK","74344","12/31/2014","2/18/2015","NM","201 East 18th Street","TOWNSEND HOLDING COMPANY","1","0","0","4","1","Delaware","","","6/9/2005","6/9/2005","11/19/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","www.bankofgrove.com","35410","1210","5128","12838","16234"
"20884","14461","711472","4272869","Bank of Guam","Hagatna","GU","96910","12/31/2014","2/18/2015","NM","111 Chalan Santo Papa","BANKGUAM HOLDING COMPANY","1","0","1","4","0","Guam","","","12/11/1972","12/11/1972","2/15/2013","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","West","http://www.bankofguam.com","13818","6857","4626","1083","1252"
"8144","0","603232","1084801","Bank of Gueydan","Gueydan","LA","70542","12/31/2014","2/18/2015","SM","111 Main Street","GUEYDAN BANCSHARES, INC.","1","0","0","2","0","Vermilion","29180","Lafayette, LA","5/14/1927","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","","15001","6759","8242","0","0"
"10315","10625","145059","1135374","Bank of Halls","Halls","TN","38040","12/31/2014","2/18/2015","SM","101 Main Street","SECURITY BANCORP OF TENNESSEE, INC.","2","0","0","2","0","Lauderdale","","","10/13/1899","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","https://www.bankofhalls.com","9590","2965","5453","1067","105"
"9127","0","854351","1966215","Bank of Hamilton","Hamilton","ND","58238","12/31/2014","2/18/2015","NM","1 Wall Street","WALL STREET HOLDING COMPANY","1","0","0","2","0","Pembina","","","1/8/1886","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","www.bankofhamilton.com","1092","299","656","136","1"
"27125","0","1161029","4156660","Bank of Hampton Roads","Virginia Beach","VA","23452","12/31/2014","2/18/2015","SM","641 Lynnhaven Parkway","CAPGEN CAPITAL GROUP VI LP","28","0","1","4","0","Virginia Beach Cit","47260","Virginia Beach-Norfolk-Newport News, VA-NC","12/8/1987","12/8/1987","10/31/2012","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","HTTP://BANKOFHAMPTONROADS.COM","289802","38136","96596","134080","20990"
"10057","0","37","0","Bank of Hancock County","Sparta","GA","31087","12/31/2014","2/18/2015","NM","12855 Broad Street","","1","0","0","7","0","Hancock","","","9/1/1904","1/1/1934","8/31/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","http://www.bankofhancock.com","24311","3576","9361","6433","4941"
