cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnreres,LNRERSFM,LNRERSF2,lnreloc,LNRERSF1
"10249","0","680055","1124088","United Community Bank of North Dakota","Leeds","ND","58346","12/31/2014","2/18/2015","NM","105 Central Avenue South","LEEDS HOLDING COMPANY","4","0","0","2","1","Benson","","","1/1/1912","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","www.ucbnd.com","29246","27427","926","893","1966"
"57301","0","3070545","3260216","United Community Bank of West Kentucky, Inc.","Morganfield","KY","42437","12/31/2014","2/18/2015","NM","500 North Morgan Street","UNITED COMMUNITY BANCSHARES, INC.","4","0","0","8","0","Union","","","12/10/2001","12/10/2001","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","www.ucbwest.com","48534","39581","330","8623","19562"
"303","11755","425818","1071342","United Cumberland Bank","Whitley City","KY","42653","12/31/2014","2/18/2015","NM","47 South Main Street","MCCREARY BANCSHARES INC.","7","0","1","8","1","Mccreary","","","1/1/1906","1/1/1934","4/14/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","www.unitedcumberland.com","82913","82066","786","61","65315"
"8821","15672","328656","1126738","United Farmers State Bank","Adams","MN","55909","12/31/2014","2/18/2015","NM","15 4th Street Sw","ADAMS BANCSHARES, INC.","3","0","0","2","1","Mower","","","1/1/1914","1/1/1934","1/17/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.unitedfsb.com","3949","3909","40","0","0"
"29566","3676","391575","0","United Fidelity Bank, fsb","Evansville","IN","47708","12/31/2014","2/18/2015","SA","18 Nw Fourth Street","","7","0","1","7","0","Vanderburgh","21780","Evansville, IN-KY","1/1/1931","3/21/1936","1/22/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","www.unitedfidelity.com","44037","38370","863","4804","20168"
"57987","0","3404869","0","United International Bank","Flushing","NY","11355","12/31/2014","2/18/2015","NM","41-60 Main Street","","1","0","0","4","0","Queens","35620","New York-Newark-Jersey City, NY-NJ-PA","2/28/2006","2/28/2006","11/1/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","www.uibbank.com","22171","13680","0","8491","2074"
"57164","0","3048861","4146988","United Legacy Bank","Winter Park","FL","32792","12/31/2014","2/18/2015","SM","401 South Semoran Boulevard","CHARLES INVESTMENT GROUP, LLC","5","0","0","4","0","Orange","36740","Orlando-Kissimmee-Sanford, FL","12/28/2001","12/28/2001","1/31/2010","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","http://www.unitedlegacybank.com","33404","13391","2714","17299","3798"
"32441","8266","809276","0","United Midwest Savings Bank","De Graff","OH","43318","12/31/2014","2/18/2015","SA","101 South Main Street","","4","0","1","4","0","Logan","","","5/5/1889","1/2/1986","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.umwsb.com","52937","52526","402","9","46696"
"10567","0","842853","1128451","United Minnesota Bank","New London","MN","56273","12/31/2014","2/18/2015","NM","105 Central Avenue","CARLSON BANKSHARES, INC.","1","0","0","4","0","Kandiyohi","","","5/5/1890","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.umbnl.com","5919","5621","42","256","366"
"21083","12014","544335","1081686","United Mississippi Bank","Natchez","MS","39120","12/31/2014","2/18/2015","NM","203 South Commerce Street","SOUTHWEST SECURITY, INC.","11","0","1","4","1","Adams","","","5/14/1973","5/14/1973","11/1/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","www.unitedmsbk.com","64511","49243","1902","13366","5186"
"35427","0","2914727","0","United National Bank","Cairo","GA","39828","12/31/2014","2/18/2015","N","722 N Broad St","","1","0","0","2","0","Grady","","","5/26/2000","5/26/2000","7/13/2007","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","http://www.unbonline.com","31893","28007","428","3458","1628"
"23373","10769","70218","0","United Orient Bank","New York","NY","10038","12/31/2014","2/18/2015","NM","10 Chatham Square","","2","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","4/9/1981","4/9/1981","4/1/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","","18778","17528","1250","0","9729"
"23805","0","609467","0","United Pacific Bank","City Of Industry","CA","91748","12/31/2014","2/18/2015","NM","1630 South Azusa Avenue","","2","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","5/11/1982","5/11/1982","10/22/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","www.upbnet.com","6704","6704","0","0","6524"
"10958","0","712059","1123885","United Prairie Bank","Mountain Lake","MN","56159","12/31/2014","2/18/2015","NM","1141 3rd Ave","FARMERS STATE CORPORATION","13","0","0","2","1","Cottonwood","","","7/21/1919","1/1/1934","5/6/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.unitedprairiebank.com","50421","40304","2577","7540","1823"
"58359","0","3387140","1056415","United Republic Bank","Omaha","NE","68118","12/31/2014","2/18/2015","NM","111 North 181st Street","CITIZENS NATIONAL CORPORATION","1","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/11/2006","12/11/2006","8/15/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","www.unitedrepublicbank.com","18266","13838","2384","2044","974"
"29170","3034","644776","2589666","United Roosevelt Savings Bank","Carteret","NJ","7008","12/31/2014","2/18/2015","SB","11-15 Cooke Avenue","UNITED ROOSEVELT MHC","1","0","0","5","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1914","2/13/1940","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","","11700","10907","541","252","0"
