cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncothr,nccomrer,idncgtpr
"10208","0","343257","1124930","United Southwest Bank","Cottonwood","MN","56229","12/31/2014","2/18/2015","NM","111 West Main Street","EMPIRE BANCSHARES, INC.","4","0","0","2","0","Lyon","","","1/1/1916","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","http://www.unitedswbank.com","0.322627951312509","0","","0","","0","","0","4.96613995485327","0","","0","0","","0"
"12214","11557","659556","1096091","United State Bank","Lewistown","MO","63452","12/31/2014","2/18/2015","NM","102 West Main St","RIVER VALLEY BANCSHARES, INCORPORATED","3","0","0","2","1","Lewis","","","9/8/1928","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.usb1.com","0.917368718018561","0.861041197509604","0","0","","0","0","0","0","0.235756385068762","","0.235756385068762","1.46850229453484","","0"
"26626","0","726953","4378529","United Texas Bank","Dallas","TX","75251","12/31/2014","2/18/2015","SM","12222 Merit Drive, # 100","UTB FINANCIAL HOLDING COMPANY","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/7/1986","4/7/1986","8/10/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.unitedtexasbank.com","0.243385793795787","0","0","0","0","0","","0","2.08756312145349","0","","0","0","","0"
"35393","16310","2949970","0","United Trust Bank","Palos Heights","IL","60463","12/31/2014","2/18/2015","SA","12330 South Harlem Avenue","","1","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/24/2000","11/24/2000","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","utbhome.com","4.78628311392816","4.90281766346194","12.0754716981132","4.01765606702099","23.3297985153765","4.09626216077829","11.7102615694165","2.0470053070508","0","0","","0","0","","0"
"15478","0","922559","1140211","United Valley Bank","Cavalier","ND","58220","12/31/2014","2/18/2015","NM","211 Division Avenue South","FIRST HOLDING COMPANY OF CAVALIER, INC.","6","0","1","2","1","Pembina","","","8/25/1905","3/22/1937","1/29/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","uvbank.net","0.390452799294666","0.368837598929746","0.880281690140845","0.454607138010585","0","0.81088586503749","0","1.00745238752415","0.438853130485664","3.86777986028284","","3.86777986028284","1.83019454968063E-02","","0"
"27033","10483","218775","0","United-American Savings Bank","Pittsburgh","PA","15203","12/31/2014","2/18/2015","SB","1812 East Carson Street","","1","0","0","5","0","Allegheny","38300","Pittsburgh, PA","1/1/1954","7/30/1987","11/21/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","http://www.uasb.com","0.705416317513522","0.672139880299565","0","0.196302960902994","0","0.760546426161338","0","0.813103246563323","2.3943661971831","0","","0","","","0"
"57120","0","3076284","3344620","Uniti Bank","Buena Park","CA","90621","12/31/2014","2/18/2015","NM","6301 Beach Blvd, # 100","UNITI FINANCIAL CORPORATION","3","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","12/17/2001","12/17/2001","5/27/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://www.unitibank.com","1.48854509350642","1.81938381844198","100","1.57256536566881","0","0","0","0","0","0","","0","0","","36.2867098058736"
"33503","0","1890525","2181426","Unity Bank","Clinton","NJ","8809","12/31/2014","2/18/2015","NM","64 Old Highway 22","UNITY BANCORP, INC.","15","0","1","4","0","Hunterdon","35620","New York-Newark-Jersey City, NY-NJ-PA","9/13/1991","9/13/1991","10/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.unitybank.com","1.6090309454271","1.62918942730072","0","2.34061596195051","","0.866132981526559","1.32950293960449","0.810425493463987","1.20431749557491","0","","0","0.214592274678112","","15.8835046500245"
"8714","0","443353","1122048","Unity Bank","Augusta","WI","54722","12/31/2014","2/18/2015","NM","207 West Lincoln","AUGUSTA FINANCIAL CORPORATION","2","0","0","2","1","Eau Claire","20740","Eau Claire, WI","12/1/1914","1/2/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","KANSAS CITY","Eau Claire","Minneapolis","Central","Central","http://www.unitybanking.com","0.453859943658766","0.27052644050393","0","0.131206045974599","","0","0","0","4.08712677435144","0.727096461463888","0","0.738552437223043","0","","0"
"8545","0","854052","1122990","Unity Bank","Rush City","MN","55069","12/31/2014","2/18/2015","NM","1180 West 4th Street","KIMBERLY LEASING CORPORATION","9","0","0","2","1","Chisago","33460","Minneapolis-St. Paul-Bloomington, MN-WI","4/18/1882","1/1/1934","4/25/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.unitybanking.com","2.55138106217257","3.26665109882982","1.3986013986014","7.09497627476086","0","1.80114838319734","2.75387263339071","1.6676429039038","0.575390970787843","0.149444918872758","","0.149444918872758","0","","0"
