cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"57463","0","3212402","3595084","Pacific City Bank","Los Angeles","CA","90010","12/31/2014","2/18/2015","NM","3701 Wilshire Blvd, # 100","PACIFIC CITY FINANCIAL CORPORATION","9","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","9/18/2003","9/18/2003","2/15/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","http://www.paccitybank.com","750355","663","3473","14365","101607","8575","914","234473","127729","90176","154388","6602","857"
"34252","0","2451240","2731586","Pacific Coast Bankers' Bank","Walnut Creek","CA","94596","12/31/2014","2/18/2015","SM","1676 N California Blvd, # 30","PACIFIC COAST BANKERS' BANCSHARES","1","0","0","4","0","Contra Costa","41860","San Francisco-Oakland-Hayward, CA","1/2/1997","1/2/1997","7/30/2012","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","http://www.pcbb.com","237856","264","1672","7155","254","0","0","64834","13852","55222","61827","27138","0"
"57065","0","3143805","0","Pacific Commerce Bank","Los Angeles","CA","90013","12/31/2014","2/18/2015","SM","420 E. 3rd St., Suite 100","","3","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","10/10/2002","10/10/2002","3/5/2013","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","www.pacificcommercebank.com","196195","0","441","3410","2669","2230","4788","4701","13955","16193","44883","75054","27653"
"20774","9184","693662","2762973","Pacific Continental Bank","Eugene","OR","97401","12/31/2014","2/18/2015","NM","111 West Seventh Ave","PACIFIC CONTINENTAL CORPORATION","15","0","1","4","0","Lane","21660","Eugene, OR","8/15/1972","8/15/1972","3/4/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","http://www.therightbank.com","1045021","2998","2623","11318","6810","11000","1733","74354","98181","111549","139952","576827","4979"
"34585","0","2643595","0","Pacific Crest Savings Bank","Lynnwood","WA","98037","12/31/2014","2/18/2015","SB","3500 188th St, S.W, # 575","","1","0","0","4","1","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","1/2/1998","1/2/1998","11/6/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","http://pacificcrestbank.com","152575","309","1387","6604","5932","2604","18057","11915","20852","9777","13647","32826","27331"
"58415","0","3490871","3490880","Pacific Enterprise Bank","Irvine","CA","92614","12/31/2014","2/18/2015","SM","17748 Sky Park Circle","PACIFIC ENTERPRISE BANCORP","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","4/30/2007","4/30/2007","5/1/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","www.pacificenterprisebank.com","281839","15587","1347","106","4876","974","52","153763","3454","15380","33365","27425","25200"
"34089","0","2360904","3082342","Pacific Global Bank","Chicago","IL","60616","12/31/2014","2/18/2015","SM","2323 South Wentworth Avenue","PGB HOLDINGS, INC.","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/9/1995","11/9/1995","1/14/2011","Stock","0","0","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.pacificglobalbank.com","117082","7897","27793","17833","12414","5589","14158","1616","2921","7152","6200","3540","8090"
"34940","0","2717012","3811467","Pacific Mercantile Bank","Costa Mesa","CA","92626","12/31/2014","2/18/2015","SM","949 S Coast Drive, 3rd Fl","CARPENTER BANK PARTNERS, INC.","10","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/1999","3/1/1999","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://www.pmbank.com","835502","5116","14265","15740","34414","17532","5318","180297","105035","113125","156126","150612","16398"
"26299","10618","577137","0","Pacific National Bank","Miami","FL","33131","12/31/2014","2/18/2015","N","1390 Brickell Avenue","","1","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/22/1985","7/22/1985","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.PNB.com","171225","2552","5886","3745","1022","360","0","11514","13640","38402","65134","26903","0"
"32172","7946","431172","3489594","Pacific Premier Bank","Irvine","CA","92614","12/31/2014","2/18/2015","SM","17901 Von Karman Ave Suite 1","PACIFIC PREMIER BANCORP, INC.","13","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","8/5/1983","8/5/1983","1/25/2015","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","http://www.ppbi.com","1628622","4043","5991","25930","2303","3270","69496","494184","84284","209741","448037","256074","23827"
