cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"10595","0","756848","2587411","Community First Bank","Butler","MO","64730","12/31/2014","2/18/2015","NM","915 West Fort Scott Street","COMMUNITY FIRST BANCSHARES, INC.","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","1/1/1932","1/1/1934","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","http://www.communityfirstbank.net","6740","1168","5572","360","679","0","445","0","234","3359","1978","369","1012","2532","0","5","2527","0","2527","0","2527","48","2160","0","2527"
"27393","15970","1225033","3468535","Community First Bank","Fairview Heights","IL","62208","12/31/2014","2/18/2015","NM","4600 North Illinois","COMMUNITY FIRST BANCORP, INC.","1","0","0","4","1","Saint Clair","41180","St. Louis, MO-IL","11/30/1988","11/30/1988","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","","8564","1321","7243","115","454","0","134","0","320","4529","3046","208","1275","3053","0","46","3007","0","3007","0","3007","409","1918","0","3007"
"34611","15566","2619732","2754585","Community First Bank","Harrison","AR","72601","12/31/2014","2/18/2015","NM","200 East Ridge Avenue","COMMUNITY FIRST BANCSHARES, INC.","5","0","0","4","0","Boone","","","10/30/1997","10/30/1997","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","http://www.communityfirstbank.com","22348","2282","20066","837","3190","0","1837","0","1353","14120","7704","2358","4058","8299","62","2140","6221","0","6221","0","6221","824","4700","0","6175.12"
"12512","11834","62147","1210422","Community First Bank","Rosholt","WI","54473","12/31/2014","2/18/2015","NM","275 West Grand Avenue","ROSHOLT BANCORPORATION, INC.","3","0","0","4","1","Portage","","","1/1/1904","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","www.cfbwi.com","3023","164","2859","3","645","0","194","0","451","3018","1614","315","1089","483","69","4","548","0","548","0","548","14","250","0","479.69"
"11348","12478","845443","2139708","Community First Bank","Keosauqua","IA","52565","12/31/2014","2/18/2015","SM","714 First Street","VAN BUREN BANCORPORATION EMPLOYEE STOCK OWNERSHIP PLAN","4","0","0","2","1","Van Buren","","","1/1/1931","1/1/1934","12/11/2014","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","www.cfirst.com","6445","378","6067","0","884","10","332","0","542","5278","3176","400","1702","1673","35","82","1626","0","1626","0","1626","31","910","0","1592.75"
"12426","11997","252658","1056451","Community First Bank","Kansas City","KS","66105","12/31/2014","2/18/2015","NM","650 Kansas Avenue","FIRST BANCSHARES, INC.","3","0","0","4","0","Wyandotte","28140","Kansas City, MO-KS","7/1/1901","1/1/1934","11/20/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","http://www.cfbkc.com","6037","470","5567","243","392","0","239","0","153","4385","2424","562","1399","1331","0","448","883","0","883","0","883","231","0","0","883"
"58782","0","3797712","0","Community First Bank","Somerset","NJ","8873","12/31/2014","2/18/2015","NM","408 Elizabeth Avenue","","2","0","0","4","0","Somerset","35620","New York-Newark-Jersey City, NY-NJ-PA","10/6/2008","10/6/2008","4/3/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","http://www.communityfirstnj.com","3843","493","3350","165","684","0","52","0","632","3729","1987","622","1120","140","35","2","173","0","173","0","173","50","0","156","138.35"
"7953","12690","188926","2376950","Community First Bank","Reynoldsville","PA","15851","12/31/2014","2/18/2015","NM","444 Main Street","COMMUNITY FIRST BANCORP, INC.","4","0","0","4","0","Jefferson","","","4/20/1893","1/1/1934","5/1/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","http://www.cf-bank.com","4358","728","3630","152","411","0","152","0","259","3362","1836","417","1109","527","0","149","378","0","378","0","378","82","363","0","378"
"35020","0","2775179","2775160","Community First Bank","New Iberia","LA","70560","12/31/2014","2/18/2015","NM","535 Jefferson Terrance Blvd","COMMUNITY FIRST BANCSHARES, INC.","6","0","0","4","1","Iberia","29180","Lafayette, LA","5/10/1999","5/10/1999","6/24/2008","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","http://www.cfirstbank.com","13738","1005","12733","180","1896","0","882","0","1014","8424","4708","1150","2566","6025","12","0","6037","0","6037","0","6037","-16","3417","0","6025"
"35165","0","2810007","3108194","Community First Bank & Trust","Columbia","TN","38401","12/31/2014","2/18/2015","NM","501 S James M Campbell Blvd","COMMUNITY FIRST, INC.","9","0","0","4","0","Maury","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","5/18/1999","5/18/1999","1/22/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","www.cfbk.com","15930","2174","13756","-1014","2470","0","1727","0","743","13929","6814","1155","5960","3311","221","589","2943","0","2943","0","2943","1854","0","0","2759.57"
