cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,idothnii,iinvfee,ivencap,iserfee,isecz,iinscom,iinsund,iinsoth,netgnsln,netgnsre,netgnast,iotnii
"10799","13443","698546","1427387","First State Bank of Campbell Hill","Campbell Hill","IL","62916","12/31/2014","2/18/2015","NM","114 West Front Street","CAMPBELL HILL BANCSHARES, INC.","3","0","0","8","0","Jackson","16060","Carbondale-Marion, IL","1/1/1921","1/1/1934","4/29/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.fsbch.com","159","0","0","0","0","6","0","6","0","-69","0","222"
"15471","0","918655","1143922","First State Bank of Cando","Cando","ND","58324","12/31/2014","2/18/2015","NM","415 Main Street","CANDO HOLDING COMPANY, INC.","3","0","0","2","1","Towner","","","1/1/1888","1/1/1937","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.firststatebankcando.com","103","40","0","0","0","2","0","2","0","0","0","61"
"484","0","99255","0","First State Bank of Claremont","Groton","SD","57445","12/31/2014","2/18/2015","NM","7 East Highway 12","","4","0","0","2","1","Brown","","","1/1/1903","1/1/1934","7/1/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","","75","0","0","0","0","0","0","0","0","0","0","75"
"10559","0","403357","0","First State Bank of Clearbrook","Clearbrook","MN","56634","12/31/2014","2/18/2015","NM","123 Main Street South","","1","0","0","2","1","Clearwater","","","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","WWW.FSBCLEARBROOK.COM","102","0","0","0","0","0","0","0","0","0","0","102"
"4440","0","805447","1133615","First State Bank of Colfax","Colfax","IA","50054","12/31/2014","2/18/2015","NM","100 North Walnut Street","DENTEL BANCORPORATION","1","0","0","2","1","Jasper","","","1/1/1933","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.fsbcolfax.com","103","0","0","0","0","0","0","0","0","3","0","100"
"12373","0","277053","1065181","First State Bank of Colorado","Hotchkiss","CO","81419","12/31/2014","2/18/2015","SM","102 East Bridge Street","CUSTER BANCORP.","7","0","0","4","0","Delta","","","7/19/1930","1/1/1934","6/30/2010","Stock","0","1","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.firststatebank-co.com","526","0","0","59","0","11","0","11","0","-137","0","593"
"12893","10423","654047","0","First State Bank of Decatur","Decatur","MI","49045","12/31/2014","2/18/2015","NM","124 Phelps Street","","1","0","0","8","0","Van Buren","28020","Kalamazoo-Portage, MI","1/1/1870","1/2/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","www.fsbdecatur.com","54","0","0","0","0","4","0","4","0","-36","0","86"
"23815","0","504535","2115449","First State Bank of DeKalb County","Fort Payne","AL","35967","12/31/2014","2/18/2015","NM","2407 Gault Avenue North","FIRST STATE BANCSHARES OF DEKALB COUNTY, INC.","2","0","0","8","0","De Kalb","","","5/19/1982","5/19/1982","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","www.fsbdekalb.com","-5","0","0","0","0","25","0","25","1","-137","-7","113"
"21805","11699","519146","2032724","First State Bank of DeQueen","De Queen","AR","71832","12/31/2014","2/18/2015","SM","402 West Collin Raye Drive","FIRST STATE BANCSHARES, INC.","6","0","0","2","1","Sevier","","","11/1/1974","11/1/1974","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Shreveport","St. louis","Southern","Western","www.firststatebankdequeen.com","369","0","0","0","0","-8","0","-8","0","3","5","369"
"10186","0","16953","1126952","First State Bank of Fertile","Fertile","MN","56540","12/31/2014","2/18/2015","NM","114 Mill Street North","FERTILE BANCSHARES, INC.","1","0","0","2","1","Polk","24220","Grand Forks, ND-MN","12/12/1887","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.fsbfertile.com","21","0","0","0","0","0","0","0","0","0","0","21"
"11669","0","980438","1207981","First State Bank of Forrest","Forrest","IL","61741","12/31/2014","2/18/2015","NM","133 East Krack Street","FORREST BANCSHARES, INC.","5","0","0","2","1","Livingston","","","1/1/1914","1/1/1934","1/1/2011","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","http://wwwfsbforrest.com","-147","0","0","144","0","0","0","0","0","-138","-256","103"
"8317","0","597658","1247017","First State Bank of Forsyth","Forsyth","MT","59327","12/31/2014","2/18/2015","NM","880 Main Street","FORSYTH BANCSHARES, INC.","1","0","0","2","0","Rosebud","","","1/1/1917","1/1/1934","2/12/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.firststatebankforsyth.com","21","0","0","0","0","0","0","0","0","0","0","21"
"9349","0","943152","0","First State Bank of Fountain","Fountain","MN","55935","12/31/2014","2/18/2015","NM","101 Main Street","","1","0","0","2","0","Fillmore","40340","Rochester, MN","1/1/1901","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.fsbfountain.com","43","0","0","0","0","0","0","0","0","0","0","43"
"10243","0","931159","0","First State Bank of Golva","Golva","ND","58632","12/31/2014","2/18/2015","NM","410 Terrell Ave","","3","0","0","2","1","Golden Valley","","","6/1/1914","4/1/1934","7/10/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","fsbofgolva.com","71","0","0","0","0","0","0","0","0","0","0","71"
"8857","0","79257","0","First State Bank of Grove City","Grove City","MN","56243","12/31/2014","2/18/2015","NM","110 Atlantic Avenue West","","1","0","0","2","1","Meeker","","","12/7/1907","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","http://www.bankofgrovecity.com","25","0","0","0","0","2","0","2","0","0","0","23"
"8383","0","997557","1128666","First State Bank of Harvey","Harvey","ND","58341","12/31/2014","2/18/2015","NM","700 Lincoln Avenue","FIRST HARVEY BANCORPORATION, INC.","2","0","0","2","1","Wells","","","6/5/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.firstharvey.com","525","34","0","0","0","515","0","515","0","-136","0","112"
"9632","12436","953535","3735152","First State Bank of Illinois","La Harpe","IL","61450","12/31/2014","2/18/2015","NM","128 East Main Street","FIRST STATE BANCORPORATION, INC.","9","0","0","2","0","Hancock","","","1/4/1904","1/1/1934","12/13/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.firststateil.com","2334","0","0","379","0","80","0","80","1375","-148","51","597"
"5175","0","1015458","1121957","First State Bank of Kiester","Kiester","MN","56051","12/31/2014","2/18/2015","NM","101 N Main Street","KIESTER INVESTMENTS, INC.","1","0","0","2","1","Faribault","","","1/1/1889","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","WWW.FSBKIESTER.COM","62","0","0","2","0","0","0","0","0","12","0","48"
"9330","0","986159","1127940","First State Bank of Le Center","Le Center","MN","56057","12/31/2014","2/18/2015","NM","88 North Park Avenue","FIRST STATE AGENCY OF LE CENTER, INC.","2","0","0","2","1","Le Sueur","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","www.fsblecenter.com","242","5","0","0","0","0","0","0","49","-3","0","191"
"8745","11002","967046","1210244","First State Bank of Middlebury","Middlebury","IN","46540","12/31/2014","2/18/2015","NM","111 South Main Street","CRYSTAL VALLEY FINANCIAL CORPORATION","6","0","0","4","0","Elkhart","21140","Elkhart-Goshen, IN","1/1/1910","1/1/1934","9/29/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","http://www.fsbmiddlebury.com","2616","0","0","182","0","0","0","0","440","72","0","1922"
"17909","0","103563","0","First State Bank of Mobeetie","Mobeetie","TX","79061","12/31/2014","2/18/2015","NM","101 S. Wheeler St","","2","0","0","2","0","Wheeler","","","1/1/1906","9/23/1958","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://www.fsbmobeetie.com","53","0","0","0","0","0","0","0","0","0","0","53"
"1168","0","87159","1058615","First State Bank of Newcastle","Newcastle","WY","82701","12/31/2014","2/18/2015","SM","24 North Sumner Avenue","NORTHEASTERN WYOMING BANK CORPORATION, INC.","1","0","0","7","1","Weston","","","8/22/1924","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","www.fsbnewcastle.com","188","0","0","0","0","89","0","89","0","0","2","97"
"8387","15880","721350","1128040","First State Bank of North Dakota","Arthur","ND","58006","12/31/2014","2/18/2015","NM","340 Main Street","FIRST FINANCIAL CORPORATION","8","0","0","2","1","Cass","22020","Fargo, ND-MN","1/1/1905","1/1/1934","12/4/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","http://www.fsbnd.com","438","87","0","39","0","2","0","2","0","18","-130","422"
"16334","0","776369","2215415","First State Bank of Odem","Odem","TX","78370","12/31/2014","2/18/2015","NM","201 Main Street","ODEM BANCSHARES, INC.","4","0","0","4","0","San Patricio","18580","Corpus Christi, TX","11/12/1945","11/12/1945","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","http://www.fsbodem.com","323","0","0","0","0","21","0","21","0","-15","-1","318"
"1934","0","783956","1126381","First State Bank of Okabena (Incorporated)","Okabena","MN","56161","12/31/2014","2/18/2015","NM","117 S Minnesota","HARTMAN BANCSHARES, INC.","1","0","0","2","0","Jackson","","","10/1/1906","1/1/1934","5/27/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","","7","0","0","0","0","0","0","0","0","0","0","7"
"10437","0","413347","2705091","First State Bank of Olmsted","Olmsted","IL","62970","12/31/2014","2/18/2015","NM","Front And Caledonia Streets","FSBO HOLDINGS INC","3","0","0","8","0","Pulaski","","","11/7/1921","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.firststatebank-olmsted.com","134","0","0","0","0","8","0","8","0","0","-3","129"
"4180","10778","521251","2006453","First State Bank of Porter","Porter","OK","74454","12/31/2014","2/18/2015","NM","541 S. Main","PORTER BANCSHARES, INC.","3","0","0","4","1","Wagoner","46140","Tulsa, OK","1/1/1905","1/1/1934","2/3/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www.fsbporter.com","146","0","0","0","0","14","0","14","0","-1","0","133"
