cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"4364","14637","44040","0","The First National Bank of Monterey","Monterey","IN","46960","12/31/2014","2/18/2015","N","6222 E. Main Street","","4","0","0","2","0","Pulaski","","","8/1/1910","1/1/1934","6/1/2010","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.fnbmonterey.com","26314","10342","11801","4171","0"
"3351","0","108269","3147353","The First National Bank of Moody","Moody","TX","76557","12/31/2014","2/18/2015","N","101 7th St","REYNOLDS, TEAGUE, THURMAN FINANCIAL CORP.","1","0","0","8","1","Mclennan","47380","Waco, TX","1/1/1893","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.fnbmoody.com","4500","849","2621","613","417"
"5214","15570","706058","2992396","The First National Bank of Moose Lake","Moose Lake","MN","55767","12/31/2014","2/18/2015","N","400 Elm Avenue","FIRST NATIONAL BANK OF MOOSE LAKE PROFIT SHARING AND ESOP","2","0","0","4","1","Carlton","20260","Duluth, MN-WI","6/21/1926","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.firstmooselake.com","10864","2819","2697","2909","2439"
"3579","16000","61832","0","The First National Bank of Mount Dora","Mount Dora","FL","32757","12/31/2014","2/18/2015","N","714 N Donnelly Street","","5","0","0","8","0","Lake","36740","Orlando-Kissimmee-Sanford, FL","9/1/1925","1/1/1934","7/26/2007","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","http://www.fnbmd.com","14938","1842","4658","6400","2038"
"3355","10223","111661","1132850","The First National Bank of Mount Vernon","Mount Vernon","TX","75457","12/31/2014","2/18/2015","N","101 W. Main Street","MOUNT VERNON BANKSHARES, INC.","3","0","0","5","1","Franklin","","","5/1/1900","1/1/1934","6/1/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.fnbmv.com","30724","7540","11753","7893","3538"
"4155","0","24855","0","The First National Bank of Nash","Nash","OK","73761","12/31/2014","2/18/2015","N","107 South Main Street","","1","0","0","2","0","Grant","","","4/11/1919","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","","394","0","394","0","0"
"4598","0","827355","2090751","The First National Bank of Nevada, Missouri","Nevada","MO","64772","12/31/2014","2/18/2015","N","100 W. Walnut St","1889 BANCSHARES, INC.","1","0","0","2","0","Vernon","","","1/1/1889","1/1/1934","6/1/2010","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","www.fnbnevada.com","11631","2648","7782","1201","0"
"19027","12817","562553","1058503","The First National Bank of New Mexico","Clayton","NM","88415","12/31/2014","2/18/2015","N","201 Main Street","UNION BANCSHARES, INC.","6","0","0","2","1","Union","","","2/3/1964","2/3/1964","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Albuquerque","Kansas City","Western","West","www.fnbofnm.com","26825","10800","12737","3288","0"
"5313","0","803144","3801262","The First National Bank of Niagara","Niagara","WI","54151","12/31/2014","2/18/2015","N","900 Roosevelt Road","NIAGARA BANCORPORATION, INC.","4","0","0","8","0","Marinette","","","8/17/1917","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","http://WWW.NIAGARABANK.COM","9666","3430","2776","2647","813"
"5218","0","782351","3481776","The First National Bank of Northfield","Northfield","MN","55057","12/31/2014","2/18/2015","N","329 Division Street","HEYWOOD BANCSHARES, INC.","3","0","0","4","1","Rice","","","12/31/1872","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.firstnationalnorthfield.com","10263","972","4597","1947","2747"
"13784","11375","289056","1871588","The First National Bank of Norway","Norway","MI","49870","12/31/2014","2/18/2015","N","501 West Us 2","NORTHERN INTERSTATE FINANCIAL, INC.","5","0","0","4","0","Dickinson","","","6/12/1901","1/29/1934","4/22/2013","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","http://www.norwaybank.com","11144","5685","2531","2504","424"
"4405","9916","1005440","1095795","The First National Bank of Odon","Odon","IN","47562","12/31/2014","2/18/2015","N","501 West Main Street","DEARMIN BANCORP, INC.","2","0","0","8","0","Daviess","","","1/1/1890","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","http://www.fnbodon.com","838","110","628","100","0"
