cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"1068","0","177751","1098648","Cass Commercial Bank","Des Peres","MO","63131","12/31/2014","2/18/2015","SM","12412 Powerscourt Drive","CASS INFORMATION SYSTEMS, INC.","5","0","1","4","0","Saint Louis","41180","St. Louis, MO-IL","1/1/1906","1/1/1934","2/19/2013","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","www.cassbank.com","541494","8481","549975","0","549975","358120","358120","18613","321096","283922","37174","0","18411","0","","0","180778","0","7","0","0","0","7","11070","0","0","10589","481","0","0","0","0","0","0","18613","7200",""
"19645","0","734051","1056415","Cass County Bank, Inc.","Plattsmouth","NE","68048","12/31/2014","2/18/2015","NM","2020 8th Avenue","CITIZENS NATIONAL CORPORATION","2","0","0","2","1","Cass","36540","Omaha-Council Bluffs, NE-IA","11/8/1966","11/8/1966","12/13/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","http://www.casscountybank.com","57381","140","57521","0","57521","38553","38553","2115","7636","6054","1582","503","16858","11441","","10136","7003","","1657","0","24","834","799","172","0","56","116","0","0","0","","0","0","1661","454","140",""
"90582","15581","896856","2135072","Castle Rock Bank","Castle Rock","CO","80104","12/31/2014","2/18/2015","SM","501 Wilcox","CASTLE ROCK BANK HOLDING COMPANY","2","0","0","4","1","Douglas","19740","Denver-Aurora-Lakewood, CO","2/21/1974","6/17/1986","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","www.castlerockbank.com","60297","2390","62687","94","62781","57742","57742","8950","23111","14153","8958","0","23352","2329","","0","4265","","774","0","68","63","643","0","0","0","0","0","0","0","","739","210","1767","7183","896",""
"1913","0","152253","0","Castle Rock Bank","Castle Rock","MN","55010","12/31/2014","2/18/2015","NM","27925 Danville Avenue","","2","0","0","8","1","Dakota","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/16/1916","1/1/1934","5/27/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","www.castlerockbank.net","80050","1858","81908","0","81908","41790","41790","419","13554","13554","0","348","20617","6852","","11380","21854","","6340","0","0","1722","4618","544","0","0","544","0","0","0","","412","412","419","0","1183",""
"17979","0","742056","0","Castroville State Bank","Castroville","TX","78009","12/31/2014","2/18/2015","NM","Paris And Lorenzo","","2","0","0","8","0","Medina","41700","San Antonio-New Braunfels, TX","4/2/1959","4/2/1959","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","http://www.CASTROVILLESTATEBANK.COM","53759","607","54366","0","54366","42645","42645","6392","8339","6241","2098","56","25260","2598","","3395","3826","","4098","0","0","2292","1806","402","0","376","26","0","0","0","","0","0","1385","5007","607",""
"10532","12420","930853","1109722","Catahoula - LaSalle Bank","Jonesville","LA","71343","12/31/2014","2/18/2015","NM","301 Mound Street","CATAHOULA HOLDING COMPANY","9","0","0","8","1","Catahoula","","","10/5/1907","1/1/1934","11/17/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","www.catlabank.com","77327","516","77843","0","77843","33112","33112","4733","12221","3581","8640","0","15721","437","","11484","19971","","12637","445","87","1775","10330","639","0","473","166","0","0","0","","0","0","1171","3562","516",""
"18503","10611","595869","1843080","Cathay Bank","Los Angeles","CA","90012","12/31/2014","2/18/2015","NM","777 North Broadway Street","CATHAY GENERAL BANCORP","56","1","1","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","4/19/1962","4/19/1962","7/18/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","www.cathaybank.com","8741254","161420","8902674","12379","8915053","6529008","6502157","435175","3600789","825941","2774848","515574","1950619","0","26851","0","2367268","200640","3244","0","73","8","3163","15534","0","0","469","0","15065","39384","214288","102090","89534","97841","337334","117856","227218"
"33859","0","2132594","3443998","Catskill Hudson Bank","Monticello","NY","12701","12/31/2014","2/18/2015","NM","4438 Rt 42 N","CATSKILL HUDSON BANCORP, INC.","13","0","0","4","0","Sullivan","","","12/6/1993","12/6/1993","8/3/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","http://www.catskillhudsonbank.com","205934","4756","210690","0","210690","156079","156079","7619","124099","96785","27314","3740","19422","1199","","166","53137","0","1219","0","762","31","426","89","0","0","74","15","0","7858","0","3029","3029","0","7619","3227",""
"12959","14283","254504","3009714","Cattaraugus County Bank","Little Valley","NY","14755","12/31/2014","2/18/2015","NM","116-20 Main Street","C.C.BANCORP, INC.","8","0","0","4","0","Cattaraugus","","","1/1/1902","1/1/1934","7/14/2008","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.ccblv.com","124642","1738","126380","0","126380","100461","100461","1324","43080","16624","26456","9172","45889","996","","2950","20159","","2636","0","5","1192","1439","174","0","116","58","0","0","0","","1008","616","789","535","1614",""
"6954","0","63201","1249075","Cayuga Lake National Bank","Union Springs","NY","13160","12/31/2014","2/18/2015","N","3 Cayuga Street","CAYUGA LAKE BANK CORPORATION","2","0","0","8","0","Cayuga","","","1/1/1864","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","http://www.cayugalakenationalbank.com","68498","358","68856","0","68856","58151","58151","230","5536","5536","0","0","51072","1313","","2321","3981","","4398","0","33","771","3594","5","0","0","5","0","0","0","","0","0","230","0","414",""
