cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntothr,ntcomrer
"7907","13213","80020","0","Manor Bank","Manor","PA","15665","12/31/2014","2/18/2015","NM","83 Race Street","","2","0","0","5","0","Westmoreland","38300","Pittsburgh, PA","10/2/1902","1/1/1934","1/11/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","www.manorbank.com","0.306988167001563","0.314933577645442","","0","0","0.342689803420667","1.89884343172795","0.18834003938019","0","0","","0","",""
"26448","8465","163370","0","Mansfield Co-operative Bank","Mansfield","MA","2048","12/31/2014","2/18/2015","SM","80 North Main Street","","5","0","0","4","0","Bristol","39300","Providence-Warwick, RI-MA","1/1/1883","12/5/1985","3/24/2014","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","WWW.Mansfieldbankonline.com","7.75903539671948E-03","7.3262048383429E-03","0","0","0","1.83315368427227E-02","0.191720731913066","0","0","0.736377025036819","","0.736377025036819","",""
"223","0","868442","1143212","Manson State Bank","Manson","IA","50563","12/31/2014","2/18/2015","NM","1001 Main St","ROG-LEE, INCORPORATED","1","0","0","2","1","Calhoun","","","1/1/1933","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.mansonbank.com","0","0","0","0","","0","","0","0","0","","0","0",""
"588","11394","501105","1037003","Manufacturers and Traders Trust Company","Buffalo","NY","14203","12/31/2014","2/18/2015","SM","One M And T Plaza","M&T BANK CORPORATION","753","3","1","4","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","1/1/1856","1/1/1934","5/16/2011","Stock","0","1","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","http://www.mtb.com","0.185756984400967","8.20441083965206E-02","-6.05949748755714E-02","3.25073537759755E-02","-1.53328347504348E-03","0.210307259324812","0.247634539266165","0.186971483858666","0.192512250677909","0.809968248503955","2.57795355927233","0.671212359969534","0.563581291367942","4.82991481779095E-02"
"18618","12962","930965","3133262","Manufacturers Bank","Los Angeles","CA","90071","12/31/2014","2/18/2015","NM","515 South Figueroa Street","SUMITOMO MITSUI FINANCIAL GROUP, INC.","10","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","10/29/1962","10/29/1962","3/4/2014","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","http://www.manufacturers-ca.com","-0.104110394524555","-2.17083737591494E-03","0","-3.40856258189072E-03","0","0","0","0","-0.177693081343851","0","","0","0","0"
"16307","14046","215345","2269977","Manufacturers Bank & Trust Company","Forest City","IA","50436","12/31/2014","2/18/2015","NM","245 J Street","MBT CORP.","6","0","1","2","1","Winnebago","","","9/1/1945","9/1/1945","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","www.mbtbank.com","-2.34835112982996E-02","-0.119975680117775","0","-0.132209843463545","0","-0.271506056436236","0","-0.286637481759433","-3.77039785238138E-03","0.751992780869304","","0.751992780869304","8.19802189665203E-02",""
"57581","0","3151417","3151426","Maple Bank","Champlin","MN","55316","12/31/2014","2/18/2015","NM","11660 Theatre Drive North","MAPLE FINANCIAL HOLDING COMPANY","1","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/4/2003","8/4/2003","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.maple-bank.com","2.72592463363573E-03","-0.239694933720719","-703.488372093023","0.301634309531644","0","0","0","0","0.147591573862874","6.04229607250755","","6.04229607250755","0",""
"28585","1899","548472","0","Maple City Savings Bank, FSB","Hornell","NY","14843","12/31/2014","2/18/2015","SA","145 Main Street","","1","0","0","5","0","Steuben","","","1/1/1905","1/5/1953","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","http://www.maplecitysavings.com","0.325294613416924","0.347422825289259","0","0","16.0646787064259","5.82660942605567E-02","0","5.97817249658049E-02","0","-0.291375291375291","","-0.291375291375291","0",""
"17903","9612","683449","1200311","Maquoketa State Bank","Maquoketa","IA","52060","12/31/2014","2/18/2015","SM","203 North Main Street","OHNWARD BANCSHARES, INC.","4","0","0","2","0","Jackson","","","9/2/1958","9/2/1958","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","http://www.maquoketasb.com","-0.239110803151037","7.34421909808538E-02","0","0.194419569213367","0","0","0","0","-1.98744609340229","7.30833881458745E-02","","7.30833881458745E-02","4.81426563192051E-02",""
"29745","4000","596978","0","Marathon Savings Bank","Wausau","WI","54401","12/31/2014","2/18/2015","SB","500 Scott Street","","4","0","0","5","0","Marathon","48140","Wausau, WI","1/1/1902","3/12/1958","3/14/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","www.marathonsavingsbank.com","1.19368844176466","1.28723210385794","3.68481780623069","1.53985723494163","0","1.13102628079184","0","1.18094710699423","-1.54882154882155","-0.513271740724446","","-0.513271740724446","0","-4.52577725304998"
