cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"58722","0","3719648","0","Meadows Bank","Las Vegas","NV","89148","12/31/2014","2/18/2015","NM","8912 Spanish Ridge Ave, # 10","","4","0","0","4","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","3/26/2008","3/26/2008","3/12/2009","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","West","http://www.meadowsbank.com","120103","6208","0","0","19122","253578","317","0","0","","","15703"
"12266","13322","332224","2807810","Mechanics & Farmers Bank","Durham","NC","27702","12/31/2014","2/18/2015","NM","116 West Parrish Street","M&F BANCORP, INC.","8","0","0","4","0","Durham","20500","Durham-Chapel Hill, NC","3/1/1908","1/1/1934","9/30/2010","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","http://www.mfbonline.com","199408","14913","1942","279","123716","55192","74","0","0","","","12761"
"12206","15924","752644","3165106","Mechanics Bank","Water Valley","MS","38965","12/31/2014","2/18/2015","NM","319 North Main Street","MECHANICS BANC HOLDING COMPANY","6","0","0","4","0","Yalobusha","","","1/1/1892","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","http://www.mechanicsbankms.com","127831","8696","17203","464","82004","44156","74","2203","6","","","9883"
"1768","12587","936462","0","Mechanics Bank","Richmond","CA","94806","12/31/2014","2/18/2015","NM","3170 Hilltop Mall Road","","30","0","0","4","0","Contra Costa","41860","San Francisco-Oakland-Hayward, CA","1/1/1905","1/1/1934","7/31/2013","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.mechanicsbank.com","1550959","103020","55440","2827","319460","1338701","1631","7254","18","","","160966"
"29011","2762","943675","2395326","Mechanics Bank","Mansfield","OH","44902","12/31/2014","2/18/2015","SB","2 South Main Street","MECHANICS FINANCIAL CORPORATION","8","0","0","5","0","Richland","31900","Mansfield, OH","1/1/1886","9/2/1959","10/2/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.mymechanics.com","310853","41238","26978","1086","87208","34074","76","2777","8","","","11930"
"26634","0","183770","4262347","Mechanics Cooperative Bank","Taunton","MA","2780","12/31/2014","2/18/2015","SB","316 Broadway","MECHANICS BANCORP, MHC","9","0","0","4","0","Bristol","39300","Providence-Warwick, RI-MA","1/1/1877","4/17/1986","3/5/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","www.mechanics-coop.com","281787","19663","28458","1302","166806","66011","142","2122","6","","","42210"
"17476","14626","548203","0","Mechanics' Savings Bank","Auburn","ME","4210","12/31/2014","2/18/2015","SB","100 Minot Avenue","","4","0","0","4","0","Androscoggin","30340","Lewiston-Auburn, ME","2/16/1875","7/28/1955","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","www.mechanicssavings.com","181475","45786","16265","806","108843","51912","88","944","3","","","18327"
"57449","0","3228908","0","Medallion Bank","Salt Lake City","UT","84121","12/31/2014","2/18/2015","NM","1100 E 6600 South, # 510","","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","12/22/2003","12/22/2003","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","www.medallionbank.com","808784","807783","0","0","808080","0","0","0","0","","","0"
"15772","0","826648","2291398","Mediapolis Savings Bank","Mediapolis","IA","52637","12/31/2014","2/18/2015","NM","605 Main Street","MEDIAPOLIS BANCORPORATION","2","0","0","2","1","Des Moines","","","9/16/1940","9/16/1940","7/3/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","www.mediapolissavingsbank.net","68741","5044","9844","465","40343","22282","37","554","2","","","5724"
"10316","0","451853","1139082","Medina Banking Co.","Medina","TN","38355","12/31/2014","2/18/2015","NM","127 South Main Street","MEDINA BANCSHARES, INC.","3","0","0","7","1","Gibson","","","4/7/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","http://www.medinabanking.com","33685","2987","97","7","13057","4866","11","0","0","","","0"
"30547","5529","306270","0","Medina Savings and Loan Association","Medina","NY","14103","12/31/2014","2/18/2015","SA","11182 Maple Ridge Road","","2","0","0","8","0","Orleans","40380","Rochester, NY","1/1/1851","4/10/1952","7/21/2011","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","WWW.MEDINASL.COM","40167","5996","2310","158","12473","2388","7","0","0","","","418"
"26715","0","272870","4390138","Meetinghouse Bank","Boston","MA","2124","12/31/2014","2/18/2015","SB","2250 Dorchester Avenue","MEETINGHOUSE BANCORP INC","2","0","0","5","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1914","7/14/1986","11/19/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","www.meetinghousebank.com","58769","3950","1473","42","34082","27647","46","261","1","","","15582"
"58401","0","3690635","0","Mega Bank","San Gabriel","CA","91776","12/31/2014","2/18/2015","NM","245 West Valley Boulevard","","4","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","2/5/2008","2/5/2008","2/15/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","http://www.megabankusa.com","135109","3089","1708","49","99008","84032","172","820","3","","","41695"
"26511","0","338178","4647887","Melrose Co-operative Bank","Melrose","MA","2176","12/31/2014","2/18/2015","SB","638 Main Street","MELROSE BANCORP, INC.","1","0","0","5","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1890","1/21/1986","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","www.melrosecoop.com","118171","7010","12054","594","59481","41543","88","2151","7","","","11765"
"256","0","764441","1205428","Melvin Savings Bank","Melvin","IA","51350","12/31/2014","2/18/2015","NM","260 Main Street","BENZ HOLDING COMPANY","2","0","0","2","1","Osceola","","","1/1/1912","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","www.melvinsavingsbank.com","37904","3029","3100","204","15431","14523","21","0","0","","","0"
"57470","17944","3219269","0","Members Trust Company","Tampa","FL","33637","12/31/2014","2/18/2015","SA","14025 Riveredge Drive, # 280","","2","0","1","5","0","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","10/30/2003","10/30/2003","7/1/2013","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","memberstrust.com","0","0","0","0","0","500","1","0","0","","","0"
"58679","0","3599608","4216050","Memorial City Bank","Houston","TX","77024","12/31/2014","2/18/2015","NM","820 Gessner Road","MC BANCSHARES, INC.","3","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","2/1/2008","2/1/2008","3/31/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","http://www.memorialcitybank.com","99896","2031","1777","41","52280","140678","173","2012","2","","","6943"
"3336","0","375650","2291295","Menard  Bank","Menard","TX","76859","12/31/2014","2/18/2015","SM","201 Ellis Street","MENARD BANCSHARES, INC.","1","0","0","2","1","Menard","","","1/1/1919","1/1/1934","12/30/2013","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","http://www.menardbank.com","21922","1909","706","27","8397","6931","18","0","0","","","2988"
"9003","0","413851","1126831","Menno State Bank","Menno","SD","57045","12/31/2014","2/18/2015","NM","105 South Fifth Street","MENNO HOLDING COMPANY","1","0","0","2","0","Hutchinson","","","1/1/1901","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","","24866","2465","628","44","7867","7461","16","0","0","","","0"
"19200","10542","215354","1097137","Meramec Valley Bank","Valley Park","MO","63088","12/31/2014","2/18/2015","NM","35 Marshall Road","VALLEY BANCSHARES, INC.","2","0","0","4","1","Saint Louis","41180","St. Louis, MO-IL","1/1/1918","8/6/1964","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","www.meramecvalleybank.com","56965","2959","3732","270","22779","14886","28","0","0","","","1179"
"22953","14111","83638","3882748","MERCANTIL COMMERCEBANK, NATIONAL ASSOCIATION","Coral Gables","FL","33134","12/31/2014","2/18/2015","N","220 Alhambra Circle-12th Fl","MERCANTIL COMMERCEBANK VOTING TRUST","22","0","1","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","9/17/1979","9/17/1979","11/1/2007","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","www.mercantilcb.com","3676497","127438","4466","195","547048","2824767","3649","262","1","","","321202"
"11301","10913","481542","1097182","Mercantile Bank","Quincy","IL","62301","12/31/2014","2/18/2015","NM","200 North 33rd Street","UNITED COMMUNITY BANCORP, INC.","5","0","1","8","1","Adams","","","4/9/1906","1/1/1934","6/16/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","www.mercantilebk.com","183505","18431","16595","962","78709","49473","69","0","0","","","6254"
"34598","0","2608754","2608763","Mercantile Bank of Michigan","Grand Rapids","MI","49504","12/31/2014","2/18/2015","NM","310 Leonard Street Nw","MERCANTILE BANK CORPORATION","56","0","0","4","0","Kent","24340","Grand Rapids-Wyoming, MI","12/15/1997","12/15/1997","6/30/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","www.mercbank.com","1404610","110603","59233","1741","515710","809517","1169","6525","18","","","223039"
"445","9674","866121","1247183","Mercer County State Bank","Sandy Lake","PA","16145","12/31/2014","2/18/2015","NM","3279 South Main Street","MERCER COUNTY STATE BANCORP, INC.","10","0","0","8","0","Mercer","49660","Youngstown-Warren-Boardman, OH-PA","6/20/1911","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","http://www.mcsbank.com","205423","22757","22890","951","86340","62742","78","507","2","","","6764"
"30084","4715","661072","0","Mercer Savings Bank","Celina","OH","45822","12/31/2014","2/18/2015","SA","1100 Irmscher Blvd","","4","0","0","5","0","Mercer","","","1/1/1888","4/18/1940","1/4/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","www.mercersavings.com","73375","9166","13753","631","32260","9070","24","547","2","","","2165"
