cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","12/31/2014","2/18/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","39941","1198","779","1674","0","1315","3599","8319","8532","2575","0","0","0","5357","6593","0"
"33785","15377","2713920","3063622","1919 INVESTMENT COUNSEL & TRUST COMPANY, NATIONAL ASSOCIATION","Baltimore","MD","21202","12/31/2014","2/18/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","6451","0","0","0","0","0","0","0","0","6451","0","0","0","0","0","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","12/31/2014","2/18/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","3129","0","0","0","0","1095","2034","0","0","0","0","0","0","0","0","0"
"22039","0","564856","1128415","1st Bank","Sidney","MT","59270","12/31/2014","2/18/2015","SM","120 Second Street, N.W.","1ST UNITED BANCORPORATION, INC.","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","12/31/2014","2/18/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","41516","0","973","309","517","6381","956","269","0","503","4066","11000","9781","6761","0","4568"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","12/31/2014","2/18/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","10571","0","0","0","0","0","0","0","0","1070","3351","1353","2933","507","1357","597"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","12/31/2014","2/18/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","34686","0","0","0","0","388","0","1538","1028","53","0","2913","12885","13943","1938","0"
"3881","0","273149","1135413","1st Bank, National Association.","Texarkana","TX","75503","12/31/2014","2/18/2015","N","3625 Richmond Road","MAGNOLIA BANKING CORPORATION","8","0","1","4","1","Bowie","45500","Texarkana, TX-AR","1/1/1909","1/1/1934","2/20/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","WWW.first-banking.com","4060","0","0","0","0","2509","0","0","0","0","20","16","694","821","0","20"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","12/31/2014","2/18/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","9431","0","0","0","0","0","0","0","0","1503","500","4275","3153","0","0","2003"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","12/31/2014","2/18/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","96807","474","2216","35","703","1555","0","11415","59747","20186","0","0","0","476","0","0"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","12/31/2014","2/18/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","79689","0","0","0","516","50507","0","0","0","502","2036","0","10020","16108","0","2538"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","12/31/2014","2/18/2015","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.1stcolonial.com","137612","1343","2817","22750","13908","46321","7","2631","3048","280","24009","844","3367","16287","0","24290"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","12/31/2014","2/18/2015","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","http://www.1stcommunitybanks.com","15638","7","0","0","17","0","0","6","4","2754","549","2389","3930","5982","0","1549"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","12/31/2014","2/18/2015","NM","2650 Route 130","1ST CONSTITUTION BANCORP","19","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","2/8/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.1stconstitution.com","221858","6","0","69","326","67125","7131","23450","656","16388","17866","12223","19068","39108","18442","28857"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","12/31/2014","2/18/2015","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","1732","0","0","0","0","0","0","0","0","0","0","0","248","1004","480","0"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","12/31/2014","2/18/2015","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","12/31/2014","2/18/2015","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.1fbusa.com","56424","0","0","0","0","0","0","0","0","6022","24304","10238","15489","371","0","30326"
"58548","0","3655081","0","1st Manatee Bank","Parrish","FL","34219","12/31/2014","2/18/2015","NM","12215 Us Highway 301 N","","3","0","0","4","0","Manatee","35840","North Port-Sarasota-Bradenton, FL","11/13/2007","11/13/2007","1/25/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","WWW.1STMANATEE.COM","14198","0","0","0","2687","9687","0","0","0","0","0","0","0","0","1824","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","12/31/2014","2/18/2015","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","WWW.BANKWITH1ST.COM","14897","0","0","0","0","0","0","0","569","1900","519","2083","1779","7934","113","849"
"3564","11706","737632","3437782","1st National Bank of South Florida","Homestead","FL","33030","12/31/2014","2/18/2015","N","1550 North Krome Avenue","HOMETOWN OF HOMESTEAD BANKING COMPANY","6","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","10/24/1932","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.1stnatbank.com","76924","0","0","0","0","2506","1576","1362","3145","5660","2034","15210","24948","12092","8391","2515"
"26977","10790","1000511","2421896","1st National Community Bank","East Liverpool","OH","43920","12/31/2014","2/18/2015","N","16924 St. Clair Avenue","TRI-STATE 1ST BANC, INC.","5","0","1","4","0","Columbiana","","","6/1/1987","6/1/1987","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.1stncb.com","44503","0","0","0","0","37","1362","886","14141","0","340","1450","4657","21630","0","340"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","12/31/2014","2/18/2015","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","8","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","3/31/2006","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","WWW.FSBWA.COM","48744","0","393","1338","0","16040","2473","0","0","4436","504","1668","3743","18149","0","1505"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","12/31/2014","2/18/2015","SM","100 North Michigan Street","1ST SOURCE CORPORATION","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","6/7/2008","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.1stsource.com","783942","68","3898","10695","218","67669","79054","31948","59457","5842","25222","236975","217360","45536","0","31066"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","12/31/2014","2/18/2015","NM","4800 Fashion Sq Blvd, # 100","VALLEY FINANCIAL GROUP, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","www.1ststatebk.com","17639","0","324","16","0","1875","0","0","0","250","1915","9678","3581","0","0","2168"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","12/31/2014","2/18/2015","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.1ststatebankmc.com","9720","450","1049","0","546","3102","571","0","124","454","27","325","371","1742","959","282"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","12/31/2014","2/18/2015","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","15","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","http://www.1stsummit.com","414299","7","13","12","15","58972","232367","0","0","3802","125","3238","155","103597","11996","180"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","12/31/2014","2/18/2015","NM","24 Commerce Drive","","3","0","0","4","0","Perry","","","12/13/2004","12/13/2004","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","http://www.1sttrustbankinc.com","5616","0","0","0","0","223","139","0","0","0","0","5254","0","0","0","0"
"31249","6607","350572","3800630","1st United Bank","Faribault","MN","55021","12/31/2014","2/18/2015","NM","430 4th St Nw","FARIBAULT FSL BANCORPORATION, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","WWW.1STUNITED.COM","43027","0","1","0","0","4295","0","3760","0","777","2024","4788","7069","20313","0","6560"
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","12/31/2014","2/18/2015","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.21stcenturybank.com","54476","2","40","0","0","0","1237","0","3449","15895","0","364","1679","20524","11286","194"
"91005","0","455253","3688089","5Star Bank","Colorado Springs","CO","80914","12/31/2014","2/18/2015","NM","Peterson Air Force Base, 455","5STAR FINANCIAL, LLC","4","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.5starbankus.com","11119","127","90","0","176","5530","0","1","0","612","646","2631","1306","0","0","1259"
"27831","358","671370","0","A J Smith Federal Savings Bank","Midlothian","IL","60445","12/31/2014","2/18/2015","SA","14757 S Cicero Ave","","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.ajsmithbank.com","54544","1828","7685","2432","10","28298","2978","0","0","0","0","7000","3201","1112","0","0"
"35029","0","2775151","2775142","AB&T National Bank","Albany","GA","31708","12/31/2014","2/18/2015","N","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","1/1/2014","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","www.abtgold.com","12496","0","0","387","0","1500","2165","4231","560","1244","0","124","45","973","1267","500"
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","12/31/2014","2/18/2015","SA","6 Bowery","","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","www.abacusbank.com","38272","0","0","0","0","0","0","0","0","5293","27296","5683","0","0","0","0"
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","12/31/2014","2/18/2015","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","www.abbemae.com","619","4","16","0","0","0","0","0","0","599","0","0","0","0","0","0"
"30619","5642","416272","0","Abbeville First Bank, SSB","Abbeville","SC","29620","12/31/2014","2/18/2015","SB","205 South Main St","","1","0","0","5","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","http://www.abbevillefirst.com","21436","284","580","0","191","0","2878","781","3051","3670","0","0","468","8167","1366","155"
"19795","16035","198149","3612794","AbbyBank","Abbotsford","WI","54405","12/31/2014","2/18/2015","NM","401 Spruce Streets","ABBY BANCORP, INC.","4","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","1/14/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","www.abbybank.com","26000","0","0","0","193","0","0","0","0","687","1944","7473","7683","8020","0","2631"
"11694","11442","4839","1143641","ABC Bank","Chicago","IL","60644","12/31/2014","2/18/2015","NM","5645 West Lake Street","GREATER CHICAGO FINANCIAL CORP.","5","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/10/1891","1/1/1934","6/1/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","WWW.ABCBANK.NET","74734","0","0","0","509","7996","13399","0","12052","6169","0","1486","5928","21907","5288","0"
"26549","0","117672","0","Abington Bank","Abington","MA","2351","12/31/2014","2/18/2015","SM","6 Harrison Avenue","","1","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","2/12/1986","10/21/2008","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","www.theabingtonbank.com","15573","0","0","0","0","2949","1921","0","0","0","0","996","2946","482","6279","0"
"19600","0","535753","2107707","Academy Bank, National Association","Colorado Springs","CO","80920","12/31/2014","2/18/2015","N","2835 Briargate Boulevard","DICKINSON FINANCIAL CORPORATION II","54","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/15/1966","6/15/1966","3/28/2008","Stock","0","0","OCC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","www.academybankco.com","96321","0","14","0","501","90684","1081","0","0","0","0","4041","0","0","0","0"
"4061","13760","266253","1055708","ACB Bank","Cherokee","OK","73728","12/31/2014","2/18/2015","NM","323 S Grand Street","ALFALFA COUNTY BANCSHARES, INC.","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","9/22/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.acbbank.net","16282","0","0","0","141","2541","3522","0","0","130","81","2287","2985","3182","1413","211"
"58727","0","3614837","3637939","Access Bank","Omaha","NE","68114","12/31/2014","2/18/2015","NM","8712 West Dodge Road","3MV BANCORP, INC.","4","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","12/17/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","WWW.ACCESSBANK.COM","28283","706","1077","0","0","7279","1705","5921","1477","0","0","0","136","8627","1355","0"
"35189","0","2859903","3109904","Access National Bank","Reston","VA","20191","12/31/2014","2/18/2015","N","1800 Robert Fulton Drive, #","ACCESS NATIONAL CORPORATION","5","0","0","4","0","Fairfax","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","12/1/1999","12/1/1999","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","www.accessnationalbank.com","137951","0","0","0","0","27013","2111","9897","27856","14941","0","6549","9800","31604","8180","0"
"58562","0","3535848","4556381","AccessBank Texas","Denton","TX","76201","12/31/2014","2/18/2015","NM","320 W Eagle Drive, # 100","ACCESS BANCORP, INC.","1","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","11/1/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","http://WWW.ACCESSBANKTX.COM","20661","0","1683","0","0","12346","3822","283","1399","0","0","0","0","1128","0","0"
"14936","11454","730446","1205950","Ackley State Bank","Ackley","IA","50601","12/31/2014","2/18/2015","SM","650 Main Street","GNB BANCORPORATION","6","0","0","2","1","Hardin","","","1/1/1934","12/18/1934","11/3/2011","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","http://www.ackleystatebank.com","32859","2195","0","0","0","1937","302","746","504","0","0","2146","8903","13933","2193","0"
"7506","12499","5210","1117464","ACNB Bank","Gettysburg","PA","17325","12/31/2014","2/18/2015","NM","16 Lincoln Square","ACNB CORPORATION","20","0","0","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","2/7/2011","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","http://www.acnb.com","189454","0","0","0","6198","89590","5732","0","592","2016","7258","22068","25709","30291","0","9274"
"18489","12279","463650","1055623","Adams Bank & Trust","Ogallala","NE","69153","12/31/2014","2/18/2015","SM","315 North Spruce Street","ADBANC, INC.","18","0","1","2","0","Keith","","","2/26/1962","2/26/1962","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.abtbank.com","55368","0","0","0","0","0","0","0","0","15","5575","2786","3741","41221","2030","5590"
"90140","12033","343903","0","Adams Community Bank","Adams","MA","1220","12/31/2014","2/18/2015","SB","2 Center Street","","7","0","0","5","0","Berkshire","38340","Pittsfield, MA","5/1/1869","7/24/1985","2/25/2012","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","www.adamscommunity.com","20523","0","0","0","0","4264","9742","0","3262","0","0","257","325","2673","0","0"
"14311","0","9553","1053870","Adams County Bank","Kenesaw","NE","68956","12/31/2014","2/18/2015","NM","401 N. Smith Avenue","FIRST KENESAW COMPANY","2","0","0","2","1","Adams","","","1/1/1878","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.adamscountybank.net","45691","0","640","1954","0","11141","2566","809","685","405","853","5260","3075","17425","878","1259"
"32304","8120","312570","0","Adams County Building and Loan Company","West Union","OH","45693","12/31/2014","2/18/2015","SA","201 West Main Street","","2","0","0","8","0","Adams","","","1/22/1907","4/4/1985","1/4/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","","6242","0","0","0","0","0","0","0","0","0","202","295","597","5148","0","197"
"58697","18056","3603765","4564724","Adams Dairy Bank","Blue Springs","MO","64014","12/31/2014","2/18/2015","NM","651 Ne Coronado Drive","ADAMS DAIRY BANCSHARES, INC.","1","0","0","4","0","Jackson","28140","Kansas City, MO-KS","1/3/2008","1/3/2008","3/3/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.AdamsDairyBank.com","14927","0","0","0","0","0","0","0","0","250","997","1809","2440","9431","0","1247"
"9812","0","332756","0","Adams State Bank","Adams","NE","68301","12/31/2014","2/18/2015","NM","649 Main Street","","1","0","0","2","1","Gage","","","1/18/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","www.adamsstate.com","12525","0","0","0","0","0","0","0","0","499","300","1503","1642","6191","2390","300"
"28380","1473","101671","2467474","Adirondack Bank","Utica","NY","13501","12/31/2014","2/18/2015","SM","185 Genesee Street","ADIRONDACK BANCORP, INC.","19","0","0","4","0","Oneida","46540","Utica-Rome, NY","1/1/1898","1/25/1936","3/31/2006","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.adirondackbank.com","215096","4","334","77","2640","4024","0","3298","3339","69504","8450","7855","22373","81812","11386","9108"
"27015","13964","541307","0","Admirals Bank","Boston","MA","2116","12/31/2014","2/18/2015","SA","579 Boylston Street","","3","0","1","4","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1967","7/20/1987","6/28/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","www.admiralsbank.com","1024","270","677","5","22","50","0","0","0","0","0","0","0","0","0","0"
"8251","0","94858","1399505","Adrian Bank","Adrian","MO","64720","12/31/2014","2/18/2015","SM","130 East Main Street","ADRIAN BANCSHARES, INC.","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","10/18/1932","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.adrianbank.com","32880","0","464","873","0","7638","5924","0","2006","120","100","410","1919","12306","1120","220"
"8822","0","293352","1125254","Adrian State Bank","Adrian","MN","56110","12/31/2014","2/18/2015","NM","322 Maine Avenue","ADRIAN BUILDING CORPORATION","1","0","0","2","1","Nobles","","","10/23/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","www.adrianstatebank.com","10664","0","0","17","375","3696","0","0","0","625","202","2660","1555","1534","0","827"
"18152","15877","438050","1066928","Advantage Bank","Oklahoma City","OK","73141","12/31/2014","2/18/2015","NM","8001 Ne 23rd Street","SPENCER BANCSHARES, INC.","2","0","0","4","1","Oklahoma","36420","Oklahoma City, OK","11/17/1913","2/15/1960","11/10/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","http://www.advantagebank.biz","15010","15","0","0","150","1384","3061","1134","1806","0","0","2063","3794","1603","0","0"
"57072","0","2927615","2926270","Advantage Bank","Loveland","CO","80537","12/31/2014","2/18/2015","NM","1475 North Denver Avenue","ADVANTAGE BANCORP, INC.","4","0","0","4","0","Larimer","22660","Fort Collins, CO","9/21/2000","9/21/2000","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.advantagebanks.com","18158","2974","1821","6785","0","0","0","2930","0","0","1669","0","0","1979","0","1669"
"10375","14584","189549","3155273","Advantage Community Bank","Dorchester","WI","54425","12/31/2014","2/18/2015","NM","101 West Center Street","ADVANTAGE COMMUNITY BANCSHARES, INC.","4","0","0","4","0","Clark","","","8/9/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","www.advantagecommunity.com","17285","0","0","0","0","0","0","0","0","661","2447","5689","7847","641","0","3108"
"34885","14544","965789","0","Affiliated Bank","Bedford","TX","76021","12/31/2014","2/18/2015","SA","500 Harwood Rd.","","3","0","0","4","0","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","1/1/1959","6/1/1998","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.affiliatedbank.com","3074","800","1852","0","0","0","0","50","372","0","0","0","0","0","0","0"
"57264","0","3118447","3118456","Affinity Bank","Atlanta","GA","30328","12/31/2014","2/18/2015","NM","5660 New Northside Drive, #","ABB FINANCIAL GROUP, INC.","1","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","9/3/2002","9/3/2002","9/28/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","http://www.myaffinitybank.com","14968","0","0","0","0","993","8140","0","0","1343","0","0","250","3321","921","0"
