cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"3792","13544","640246","2107305","The Fairfield National Bank","Fairfield","IL","62837","12/31/2014","2/18/2015","N","220 East Main Street","FAIRFIELD BANCSHARES, INC.","3","0","0","2","0","Wayne","","","2/3/1903","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","http://www.fairfieldnb.com","177358","0","0","0","0","36923","38565","7138","19273","337","494","1591","2327","46669","24041","831"
"1829","0","503547","2033440","The Fairmount State Bank","Fairmount","IN","46928","12/31/2014","2/18/2015","SM","101 North Main Street","FAIRMOUNT BANKING COMPANY","1","0","0","2","0","Grant","","","12/18/1902","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","FAIRMOUNTSTATEBANK.COM","14480","6","8","0","0","0","0","0","0","0","1712","4236","2697","5821","0","1712"
"3193","0","441050","0","The Falls City National Bank","Falls City","TX","78113","12/31/2014","2/18/2015","N","Highway 181 And Mavrick","","3","0","0","7","0","Karnes","","","3/23/1907","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","http://www.fcnb.net","113167","0","0","162","130","3748","0","11073","27494","535","441","18151","17935","30015","3483","977"
"4748","53500","458553","1055717","The Farmers  Bank of Osborne","Osborne","KS","67473","12/31/2014","2/18/2015","NM","102 West Main Street","OSBORNE INVESTMENTS, INC.","3","0","0","2","1","Osborne","","","4/1/1901","1/1/1934","1/10/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","www.farmersbankofosborne.com","15007","0","0","0","0","506","0","0","0","335","1836","3418","4005","4907","0","2171"
"1480","9136","70058","1119516","The Farmers & Merchants Bank","Dyer","TN","38330","12/31/2014","2/18/2015","NM","110 South Main Street","DYER F & M BANCSHARES, INC.","5","0","0","7","1","Gibson","","","4/9/1895","1/1/1934","1/22/2013","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","www.dyerfmbank.com","44341","0","0","858","692","2777","15610","502","2124","0","0","299","348","14669","6462","0"
"1745","0","291732","0","The Farmers & Merchants Bank","Waterloo","AL","35677","12/31/2014","2/18/2015","NM","320 Main St","","2","0","0","2","0","Lauderdale","22520","Florence-Muscle Shoals, AL","7/1/1914","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","","61192","0","0","1","258","244","240","0","0","0","247","1928","5135","52932","207","248"
"15779","0","574949","3444203","The Farmers & Merchants Bank","Berlin","WI","54923","12/31/2014","2/18/2015","SM","123 W Huron Street","KUJAWA FAMILY HOLDINGS, INC.","1","0","0","4","0","Green Lake","","","12/2/1940","12/2/1940","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","http://www.fmberlin.com","38778","0","279","765","0","0","0","0","0","3825","428","2126","1852","3747","25756","2383"
"16216","13011","677644","1099672","The Farmers & Merchants Bank","Stuttgart","AR","72160","12/31/2014","2/18/2015","SM","708 South Main Street","FARMERS AND MERCHANTS BANKSHARES, INC.","11","0","0","2","0","Arkansas","","","1/2/1945","1/2/1945","6/18/2009","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","www.mebanking.com","150208","0","0","0","0","10624","58372","0","0","12","0","1219","9163","48229","22589","12"
"8640","0","954158","1135039","The Farmers & Merchants Bank of North Dakota","Tolna","ND","58380","12/31/2014","2/18/2015","NM","101 N. Main Street","TOLNA BANCORP, INC.","4","0","0","2","1","Nelson","","","8/1/1917","1/1/1934","3/29/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","http://www.fmbnd.com","14362","0","102","45","250","1661","6480","0","0","0","416","90","600","4227","491","416"
"5969","9553","214414","1134630","The Farmers & Merchants State Bank","Archbold","OH","43502","12/31/2014","2/18/2015","NM","307-11 Defiance Street","FARMERS & MERCHANTS BANCORP, INC.","23","0","1","4","0","Fulton","45780","Toledo, OH","4/1/1897","1/1/1934","12/13/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.fm-bank.com","233494","104","0","0","0","18460","0","4376","6622","9243","11989","43985","102284","30550","5881","21232"
"17999","0","735357","2230249","The Farmers & Merchants State Bank of Cawker City","Cawker City","KS","67430","12/31/2014","2/18/2015","NM","719 Wisconsin St","F & M STATE BANCSHARES, INC.","1","0","0","2","1","Mitchell","","","4/5/1897","5/13/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10280","0","760210","1249909","The Farmers and Merchants Bank","Caldwell","OH","43724","12/31/2014","2/18/2015","NM","430 North Street","FARMMERC, INC.","1","0","0","8","0","Noble","","","1/20/1912","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.thefarmersandmerchantsbank.com","25711","0","0","1","0","135","0","0","0","0","1352","7077","9791","5655","1700","1352"
"1843","13095","629746","1135507","The Farmers and Merchants Bank","Boswell","IN","47921","12/31/2014","2/18/2015","NM","302 South Old Us Highway 41","FARMERS AND MERCHANTS BANCORP, THE","4","0","0","2","0","Benton","29200","Lafayette-West Lafayette, IN","4/23/1903","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","http://www.fmbank.org","33258","0","0","120","634","9255","0","0","0","521","1457","5315","7510","7472","974","1978"
"4097","12114","73152","1065211","The Farmers and Merchants National Bank of Fairview","Fairview","OK","73737","12/31/2014","2/18/2015","N","312 North Main","FAIRVIEW BANCSHARES, INC.","1","0","0","2","1","Major","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.fairviewbank.com","58793","126","631","696","0","5909","152","8423","18533","0","2621","3735","7354","9433","1180","2935"
"3934","0","668053","3435957","The Farmers and Merchants National Bank of Hatton","Hatton","ND","58240","12/31/2014","2/18/2015","N","415 Seventh Street","HATTON BANCSHARES, INC.","2","0","0","4","0","Traill","","","9/19/1905","1/1/1934","10/1/2013","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Grand Forks","Minneapolis","Central","West","fmnb.net","2433","0","301","434","0","895","0","0","0","1","0","0","399","403","0","0"
"3821","14361","513546","2931331","The Farmers and Merchants National Bank of Nashville","Nashville","IL","62263","12/31/2014","2/18/2015","N","120 West St. Louis Street","FARMERS AND MERCHANTS BANCSHARES, INC.","7","0","0","2","1","Washington","","","5/10/1906","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","www.bankwithfmb.com","66264","0","0","519","0","12311","15652","596","6629","897","1769","4614","6448","16829","0","2665"
"13999","0","425050","1127856","The Farmers and Merchants State Bank","Scotland","SD","57059","12/31/2014","2/18/2015","NM","550 Main Street","SCOTLAND HOLDING COMPANY","1","0","0","2","0","Bon Homme","","","3/6/1934","3/6/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://wwwfmsbscotland.com","8821","0","0","0","0","3283","3568","0","0","171","0","61","0","1311","427","171"
"17719","0","141453","1059694","The Farmers and Merchants State Bank of Argonia","Argonia","KS","67004","12/31/2014","2/18/2015","NM","101 S Main Street","FARMERS AND MERCHANTS FINANCIAL CORPORATION","2","0","0","2","0","Sumner","48620","Wichita, KS","10/1/1901","2/15/1957","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","www.farmersandmerchants.com","3200","0","0","0","0","1048","325","0","0","0","0","80","475","1272","0","0"
"17089","0","212335","1081314","The Farmers Bank","Forsyth","GA","31029","12/31/2014","2/18/2015","NM","88 North Lee Street","PERSONS BANKING CO., INC.","1","0","0","4","1","Monroe","31420","Macon, GA","1/1/1910","3/28/1952","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","www.farmersbank.net","10973","0","0","0","0","0","0","1532","4880","0","0","933","674","2954","0","0"
"1696","10900","901938","1086122","The Farmers Bank","Portland","TN","37148","12/31/2014","2/18/2015","NM","120 Village Drive","FIRST FARMERS BANCSHARES, INC.","10","0","0","4","0","Sumner","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","7/12/1912","1/1/1934","9/29/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","www.thefarmersbank.net","158244","0","0","0","0","23390","1496","3838","47834","0","1145","592","13811","66138","0","1145"
"4054","53315","998657","1067907","The Farmers Bank","Carnegie","OK","73015","12/31/2014","2/18/2015","NM","31 West Main Street","FARMERS BANCAPITAL CORPORATION, THE","1","0","0","2","1","Caddo","","","10/27/1905","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","","7341","0","0","0","0","0","0","0","0","953","1473","4518","397","0","0","2426"
"14894","13393","485214","1071771","The Farmers Bank","Nicholasville","KY","40356","12/31/2014","2/18/2015","NM","200 North Main Street","FARMERS BANCORP OF NICHOLASVILLE, INC.","4","0","0","4","0","Jessamine","30460","Lexington-Fayette, KY","1/1/1934","11/30/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","www.myfarmersbank.net","21475","0","0","0","0","1620","0","0","2965","1500","0","0","1267","14123","0","1500"
"14102","8982","525446","4441432","The Farmers Bank","Hardinsburg","KY","40143","12/31/2014","2/18/2015","SM","1119 Old Highway 60 East","C & J BENNETT FAMILY LIMITED PARTNERSHIP","3","0","0","4","0","Breckinridge","","","1/1/1902","3/23/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","http://www.thefarmersbank-ky.com","23826","0","5","0","0","0","0","0","0","1000","440","2195","4827","14427","932","1440"
"5709","0","11837","1246252","The Farmers Bank","Greensboro","GA","30642","12/31/2014","2/18/2015","NM","202-A South Main Street","PUTNAM-GREENE FINANCIAL CORPORATION","2","0","0","4","0","Greene","","","9/6/1911","1/1/1934","3/14/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","http://www.farmbk.com","46608","0","0","0","0","0","10118","0","0","306","0","0","132","34208","1844","306"
"769","10728","58225","1132814","The Farmers Bank and Savings Company","Pomeroy","OH","45769","12/31/2014","2/18/2015","NM","211 West Second Street","FARMERS BANCSHARES, INC.","6","0","1","6","0","Meigs","","","12/4/1904","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.fbsc.com","37598","0","0","0","0","569","0","0","0","281","4177","9966","14109","7603","893","4457"
"6813","0","188720","0","The Farmers Bank of Appomattox","Appomattox","VA","24522","12/31/2014","2/18/2015","SM","223 Main Street","","5","0","0","8","0","Appomattox","31340","Lynchburg, VA","9/16/1918","1/1/1934","1/15/2010","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","http://www.thefarmersbankva.com","72754","0","0","0","0","0","0","0","0","2541","517","11157","16184","35349","7006","2558"
"11719","12285","371942","1100297","The Farmers Bank of Liberty","Liberty","IL","62347","12/31/2014","2/18/2015","NM","1002 North Main Street","FBL BANCSHARES, INC.","4","0","0","2","0","Adams","","","6/23/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","www.fblbank.com","24015","0","237","0","656","3046","2470","2260","692","500","721","2787","4244","5950","452","721"
"12163","12081","265340","3017700","The Farmers Bank of Milton","Milton","KY","40045","12/31/2014","2/18/2015","NM","41 Ferry Street","FARMERS FINANCIAL CORPORATION","4","0","1","8","0","Trimble","31140","Louisville-Jefferson County, KY-IN","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","fbmilton.com","80584","4","1","1","1500","4830","0","2459","5319","1247","1603","5801","8750","45338","3731","2850"
"11319","9391","830645","0","The Farmers Bank of Mt. Pulaski","Mount Pulaski","IL","62548","12/31/2014","2/18/2015","NM","130 South Washington Street","","2","0","0","8","0","Logan","","","1/1/1872","1/1/1934","3/21/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","http://www.farm-bank.com","12627","69","1","7","29","0","12","0","0","282","1010","1357","3413","6447","0","1262"
"5885","0","105026","0","The Farmers Bank of Willards","Willards","MD","21874","12/31/2014","2/18/2015","NM","7484 Market Street","","8","0","0","4","0","Wicomico","41540","Salisbury, MD-DE","1/3/1925","1/1/1934","7/17/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.fbwbank.com","8694","0","0","9","0","500","300","232","852","0","288","1279","2486","2036","712","288"
"12828","8909","423449","1209538","The Farmers Bank, Frankfort, Indiana","Frankfort","IN","46041","12/31/2014","2/18/2015","NM","9 East Clinton Street","FARMERS BANCORP, FRANKFORT, INDIANA, THE","10","0","0","4","0","Clinton","","","1/1/1876","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.thefarmersbank.com","121942","1","0","2","210","3181","8279","7591","34843","2667","3710","15599","28075","17784","0","4876"
"15205","0","502652","0","The Farmers Bank, Woodland Mills, Tennessee","Woodland Mills","TN","38271","12/31/2014","2/18/2015","NM","114 S Thompson St","","1","0","0","2","0","Obion","","","7/1/1910","6/28/1935","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","","4099","0","0","0","0","0","0","0","0","0","0","0","0","3799","300","0"
"3732","12238","933041","2198563","The Farmers National Bank","Prophetstown","IL","61277","12/31/2014","2/18/2015","N","114 West Third Street","PROPHETSTOWN BANKING CO.","3","0","0","2","0","Whiteside","","","7/1/1902","1/1/1934","8/5/2014","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","www.farmersnationalbank.com","230541","1305","6301","1583","2603","7245","2057","11034","4699","6382","7018","8982","18546","117724","35062","11474"
"6540","13123","680813","1071191","The Farmers National Bank of Canfield","Canfield","OH","44406","12/31/2014","2/18/2015","N","20 South Broad Street","FARMERS NATIONAL BANC CORP.","18","0","0","4","0","Mahoning","49660","Youngstown-Warren-Boardman, OH-PA","2/17/1887","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","http://www.farmersbankgroup.com","385610","177","729","763","9546","172241","40906","5635","19541","275","6562","12837","27196","58015","31187","6779"
"2740","11804","785147","1119244","The Farmers National Bank of Danville","Danville","KY","40422","12/31/2014","2/18/2015","N","304 West Main Street","BOYLE BANCORP, INC.","13","0","0","8","0","Boyle","","","2/10/1879","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","www.fnbky.com","122402","2","0","23","17062","16487","7709","11738","6218","3639","0","320","1079","43422","14703","1354"
"7875","11211","119528","1480944","The Farmers National Bank of Emlenton","Emlenton","PA","16373","12/31/2014","2/18/2015","N","612 Main Street","EMCLAIRE FINANCIAL CORP","15","0","0","4","0","Venango","","","1/1/1900","1/1/1934","10/17/2008","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","www.farmersnb.com","147090","0","0","0","0","21807","16964","0","36617","770","370","13799","30571","26192","0","1140"
"2754","13581","575348","1098451","The Farmers National Bank of Lebanon","Lebanon","KY","40033","12/31/2014","2/18/2015","N","136 West Main Street","LEBANON BANCSHARES, INC.","2","0","0","8","0","Marion","","","4/1/1890","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","www.fnblebanon.com","39140","2","3","8","311","4305","0","790","8217","0","895","1242","4172","19195","0","895"
"2769","11192","183846","1248144","The Farmers National Bank of Scottsville","Scottsville","KY","42164","12/31/2014","2/18/2015","N","1595 Veterans Memorial Hwy","FNB FINANCIAL CORP.","5","0","0","4","0","Allen","14540","Bowling Green, KY","11/3/1923","1/1/1934","7/25/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","www.farmersnationalky.com","80613","0","0","0","0","0","0","0","0","996","1578","14675","15939","47126","299","2567"
"2290","0","457220","0","The Farmers Savings Bank","Spencer","OH","44275","12/31/2014","2/18/2015","NM","111 West Main Street","","2","0","0","7","1","Medina","17460","Cleveland-Elyria, OH","1/1/1925","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.fsb-spencer.com","175421","16254","0","0","283","246","58435","0","0","0","37","0","1661","61465","37040","37"
